firstname,lastname,ilkid,year,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
Allan,Houston,HoustAl01 ,1999.5,1.0,16.5,8.0,1.5,0.0,1.5,2.5,0.5,0.0,1.0,0.5,7.5,2.5,2.0,2.0,2.5,1.0
Allen,Iverson,IversAl01 ,2001.0,1.0,28.8,18.8,1.6,1.2,2.8,7.0,2.2,0.0,4.2,1.0,15.4,7.0,5.2,4.0,1.2,0.8
Alonzo,Mourning,MournAl01 ,2000.0,1.0,21.5,14.0,3.5,1.5,5.0,1.5,1.5,3.0,1.0,2.5,9.0,6.5,1.5,1.0,0.0,0.0
Andrei,Kirilenko,KirilAn01 ,2003.0,1.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0
Anfernee,Hardaway,HardaAn01 ,1997.0,1.0,12.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0
Anthony,Mason,MasonAn01 ,2000.0,1.0,20.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
Antoine,Walker,WalkeAn01 ,2000.0,1.0,13.333333333333334,6.0,1.6666666666666667,0.3333333333333333,2.0,1.3333333333333333,0.6666666666666666,0.0,1.3333333333333333,0.3333333333333333,6.666666666666667,2.3333333333333335,0.6666666666666666,0.3333333333333333,3.3333333333333335,1.0
Antonio,Davis,DavisAn01 ,2000.0,1.0,20.0,8.0,2.0,7.0,9.0,0.0,1.0,1.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0
Antonio,McDyess,McDyeAn01 ,2000.0,1.0,15.0,8.0,5.0,3.0,8.0,2.0,1.0,0.0,0.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0
Artis,Gilmore,GilmoAr01 ,1973.0,1.0,28.666666666666668,13.0,9.666666666666666,4.333333333333333,14.0,1.0,0.6666666666666666,2.3333333333333335,4.333333333333333,4.0,9.333333333333334,5.0,6.0,3.0,0.0,0.0
